Fichier;Type du document;Nationalit� du document;Date d'expiration;Pays d'origine;Pr�nom;Nom;Sexe;Date de naissance;Num�ro;Score de lecture;Vrai pr�nom;Vrai nom
Angleterre_Chine.jpg;VL;China;21/08/2008 00:00;United Kingdom of Great Britain and Northern Ireland;G£££££KEKEKEEKKEEKEKS;SAMPLE VISA;M;01/01/1980 00:00;010101<<<;0.94;Non;Non
Angleterre_Mexique.jpg;AS;ESE;0!0/PE;S]J;;PPONSEPERUSOPLNA;U;090H10;°P499.4AN;0.04;Non;Non
Angleterre_Russie.jpg;KK;KKK;<<<<<<;OBR;;KKKKKKKKKKKKKKKKKI;7;N32605;M<<<<<<<<;0.02;Non;Non
Angleterre_USA.jpg;VN;United States of America;406012;United Kingdom of Great Britain and Northern Ireland;TRISTAMSLEWISS      S SSSS£GSG;SUMMERS;I;12/12/1940 00:00;403321877;0.38;Non;Oui
Canada_France.jpg;;;nan;;;;;nan;;;Non;Non
Chine_Angleterre.jpg;VO;United Kingdom of Great Britain and Northern Ireland;29/09/2015 00:00;China;WEIWEI          K X DECC;AI;M;28/08/1957 00:00;638016903;0.97;Non;Oui
Chine_France.jpg;NA;.A!;<<<<<<;"""E“";;FEEPREEBOLTEN(ZAI*;<;57RYVE;"¥SSA“""V4=";0.02;Non;Non
Chine_USA.jpg;MB;STU;7F15NY;GZ3;;ATTITITEEECETESEEEERESEREEEE;Z;8M1107;8139CHN87;0.27;Non;Non
France_Chine.jpg;VF;China;101722;France;FRANCK                G G;ANACCHA;F;20/01/1966 00:00;72137738;0.11;Non;Non
France_Iran.jpg;V<;PAR;164<59;SOZ;PATRICK          E;THIBAU;O;575M31;1ERG79FRA;0.08;Non;Oui
France_Japon.jpg;ER;ROR;AE05A0;SOR;;PODOOARRESORSINCELEFTIESGHRSASaOHSoSaieeeeee;R;0,00E+00;STYENREDT;0.02;Non;Non
France_Russie.jpg;,A;DZI;HA6UEP;TRI;;:ABGT!”QWA7SM,3IGI9SIWX:EEE.;C;“8EY.M;02SAIALTE;0.02;Non;Non
France_USA.jpg;;;nan;;;;;nan;;;Non;Non
Inde_Allemagne.jpg;;;nan;;;;;nan;;;Non;Non
Inde_France.jpg;VC;France;20/09/2010 00:00;India;POULOMI       CCCCCECCCC;BASU;F;07/10/1982 00:00;F62956262;1.0;Non;Non
Inde_USA.jpg;VN;United States of America;03/06/2025 00:00;India;RAVINDERKCECCDEDECEDECCCEDECDD;SHARMA;F;01/06/1956 00:00;61765369<;0.64;Non;Oui
Philippine_Allemagne.jpg;AW;ISA;444N65;ABL;;HINAINYS3O“ANNVAISISMMIAAAGIHYZNYy;Q;4N0RA5;0NOILYANG;0.06;Non;Non
Russe_Allemagne.jpg;VE;Germany;0‘EN1A;Russian Federation;;GZOZ9RUSAS 7I9AFOSKKKKKKKKKKKKK;F;19/07/1967 00:00;D23106202;0.67;Non;Non
USA_Chine.jpg;VL;China;03/06/2006 00:00;United States of America;KRISTOPHERSKELWYN;KRUG;M;14/12/1976 00:00;712191130;1.0;Non;Oui
USA_France_1.jpg;;;nan;;;;;nan;;;Non;Non
USA_France_2.jpg;;;nan;;;;;nan;;;Non;Non
USA_Russia.jpg;SE;PIT;0L15<<;ZF<;;AGAREHEESIPEENANEAN;<;<<<<<<;3USA17017;0.02;Non;Non
USA_Tcheque.jpg;<T;ELE;<<<<<<;RTN;YY;NASK ESS;<;<<6?<<;AOLENONET;0.02;Non;Non
_China.jpg;TE;ESO;A6UATT;TAR;;"Z%BBOY-,:Z.‘EW“3EREEEESLEETOA""aeme.toea";E;JFEE5E;LETCEGITU;0.02;Non;Non
